Term,Estimate,SE,Model,OR,CI_low,CI_high,Category,Clean_Term
rural_cat_ORH2,0.09011227473986283,0.11268348369562622,FedGEE,1.0942971387349072,0.877439428562716,1.3647508749463644,Demographics,Rurality (ref: Urban): Rural
adi_cat2,0.017830110023015596,0.17469968523411397,FedGEE,1.017990015397754,0.7228299586774022,1.4336755954964784,Demographics,ADI (ref: 1-25): 26-50
adi_cat3,-0.025929171485988813,0.18145944543656514,FedGEE,0.9744041027593159,0.6827751489358376,1.3905944833434636,Demographics,ADI (ref: 1-25): 51-75
adi_cat4,-0.11406376197451241,0.2378289678490038,FedGEE,0.8922010655671055,0.5597816181168621,1.4220237243176101,Demographics,ADI (ref: 1-25): 76-100
remote_MAUD1,0.7111209413836486,0.04419302474808509,FedGEE,2.036272521964908,1.8673169470092128,2.220515264080057,Substance Use History,Any MAUD Use in Prior Year (ref: No)
auditc_baseline_cat_d1,-0.11067007369425041,0.21165047221104974,FedGEE,0.8952340614773476,0.591256704782322,1.3554924931029548,Substance Use History,AUDIT-C (ref: Unhealthy): No Use
auditc_baseline_cat_d2,-0.1998059332090712,0.2519371430952031,FedGEE,0.8188896569463496,0.4997722753164209,1.3417716495560814,Substance Use History,AUDIT-C (ref: Unhealthy): Low Use
auditc_baseline_cat_d4,9.80109381304753e-5,0.2223653050653811,FedGEE,1.0000980157413595,0.646787170389477,1.5464067422480172,Substance Use History,AUDIT-C (ref: Unhealthy): High Risk Use
auditc_baseline_cat_d5,-0.02080726642077487,0.19734843082655087,FedGEE,0.9794077111336623,0.6652381442087599,1.441948981697385,Substance Use History,AUDIT-C (ref: Unhealthy): Very High Risk
CAN_quint2,-0.05781878141835329,0.3680116416798432,FedGEE,0.9438209698375944,0.45880885245525754,1.9415449774741362,Medical Complexity,VA CAN Score (ref: Q1): Quintile 2
CAN_quint3,-0.22771785472695935,0.3413152302857482,FedGEE,0.7963489142232157,0.4079153073757699,1.5546648574290896,Medical Complexity,VA CAN Score (ref: Q1): Quintile 3
CAN_quint4,-0.30824559475188335,0.33733553899914126,FedGEE,0.7347348488259362,0.37930173685550045,1.42323444800077,Medical Complexity,VA CAN Score (ref: Q1): Quintile 4
CAN_quint5,-0.3005536111969215,0.31163220093861443,FedGEE,0.7404082089238869,0.4019800875544394,1.36375987969214,Medical Complexity,VA CAN Score (ref: Q1): Quintile 5
frail_cat22,-0.15232848209984426,0.06359941544181201,FedGEE,0.8587061648044784,0.7580671291586026,0.9727057790932685,Medical Complexity,Frailty (ref: Fit): Prefrail
frail_cat23,-0.34513105380613457,0.12445208197669855,FedGEE,0.7081275445765081,0.5548501872924793,0.9037477698887881,Medical Complexity,Frailty (ref: Fit): Mildly Frail
icu1,-0.1467166449011993,0.07534224465580286,FedGEE,0.863538630826843,0.7449877941511129,1.000954609974511,Medical Complexity,ICU Care (ref: No)
speciality_cat1,0.5407451634280123,0.1255415699045761,FedGEE,1.717286044281444,1.3427015767583996,2.1963714118840674,"Hospitalization
Factors",Speciality (ref: Med/Surg): Psychiatry
speciality_cat3,0.022495448023485066,0.15397755632054827,FedGEE,1.0227503786181458,0.7563125499613068,1.3830503500399078,"Hospitalization
Factors",Speciality (ref: Med/Surg): Surgery
discharge_cat3,-0.8314337402410764,0.08480310625920744,FedGEE,0.43542455287240417,0.3687457751887028,0.5141605789167606,"Hospitalization
Factors",Discharge (ref: Routine): Domiciliary
oud_dx1,-0.2686219090316988,0.055600704464867354,FedGEE,0.7644322259367334,0.6855051345492243,0.8524467558289719,Substance Use History,OUD Diagnosis (ref: No)
hospital_addiction_consult1,0.2332972761300198,0.12776068843875807,FedGEE,1.262756810993853,0.9830319338880924,1.622078295467549,"Hospitalization
Factors",Addiction Consult (ref: None): Clinician
hospital_addiction_consult2,0.5256384544025053,0.298261206570027,FedGEE,1.6915384738822474,0.9427505961659906,3.0350576496693,"Hospitalization
Factors",Addiction Consult (ref: None): Non-Clinician
